Node No.,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.78,0.72,0.68,0.66,0.64,0.65,0.66,0.7,0.8,0.88,0.9,0.91,0.9,0.88,0.87,0.87,0.91,1,0.99,0.97,0.94,0.92,0.87,0.81
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.78,0.72,0.68,0.66,0.64,0.65,0.66,0.7,0.8,0.88,0.9,0.91,0.9,0.88,0.87,0.87,0.91,1,0.99,0.97,0.94,0.92,0.87,0.81
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.78,0.72,0.68,0.66,0.64,0.65,0.66,0.7,0.8,0.88,0.9,0.91,0.9,0.88,0.87,0.87,0.91,1,0.99,0.97,0.94,0.92,0.87,0.81
